group_id,score,nmae,ficr,n_estimators,learning_rate,num_leaves,min_child_samples,feature_fraction,bagging_fraction
1,0.6165389474226842,0.1216949962896859,0.3547728911350544,600,0.03,15,30,0.8,0.8
1,0.6134766029725534,0.1218593841665305,0.3488125901116373,200,0.08,15,10,1.0,0.8
1,0.6063500014576941,0.1220836586440693,0.3347836615594577,200,0.03,15,10,0.8,0.8
1,0.6119700242493629,0.1234370723352592,0.347377120833985,600,0.08,63,30,0.8,1.0
1,0.6126212322836997,0.1226088492513333,0.3478513138187327,600,0.05,15,10,1.0,1.0
1,0.614494417272859,0.1217526943173215,0.3507415288630396,400,0.03,15,30,0.8,0.8
1,0.617085678394955,0.1209244097633532,0.3550957665532633,400,0.03,31,30,1.0,0.8
1,0.6163216024746967,0.1211791320330595,0.3538223369824528,600,0.05,63,10,1.0,0.8
1,0.6204770501334435,0.1207104901046684,0.3616645903715554,600,0.05,63,30,0.8,0.8
1,0.6128719160042869,0.1222541009038899,0.3479979329124638,200,0.08,15,30,0.8,0.8
2,0.6368392421874025,0.1172809561782119,0.3909594405530168,600,0.03,15,30,0.8,0.8
2,0.6408742872283062,0.1178031831217055,0.399551757578318,200,0.08,15,10,1.0,0.8
2,0.6339917116793279,0.1179335479524658,0.3859169713111216,200,0.03,15,10,0.8,0.8
2,0.6361154285364449,0.1185890560217464,0.3908199130946362,600,0.08,63,30,0.8,1.0
2,0.6373685083797037,0.1165436553217435,0.3912806720811509,600,0.05,15,10,1.0,1.0
2,0.6362536425386579,0.1177143943731322,0.390221679450448,400,0.03,15,30,0.8,0.8
2,0.6348027924243607,0.1166856245985107,0.386291209447232,400,0.03,31,30,1.0,0.8
2,0.6383644392597958,0.1166669288620226,0.3933958073816141,600,0.05,63,10,1.0,0.8
2,0.641040194997379,0.1175793185683471,0.3996597085631051,600,0.05,63,30,0.8,0.8
2,0.6367993171413,0.1185264959084514,0.3921251301910515,200,0.08,15,30,0.8,0.8
3,0.6007848215529151,0.13314477593153812,0.3347144190373683,600,0.03,15,30,0.8,0.8
3,0.5922671405545916,0.135976556330407,0.3205108374395903,200,0.08,15,10,1.0,0.8
3,0.6040866477100044,0.130991426843078,0.3391647222630867,200,0.03,15,10,0.8,0.8
3,0.6072557998302657,0.13064870516408186,0.34516030482461324,600,0.08,63,30,0.8,1.0
3,0.5963290007957354,0.13372503890946938,0.32638304050094014,600,0.05,15,10,1.0,1.0
3,0.6049761798627667,0.13224730766708692,0.34219966739262037,400,0.03,15,30,0.8,0.8
3,0.5978112994108473,0.13250668035885235,0.3281292791805471,400,0.03,31,30,1.0,0.8
3,0.5958388553231697,0.13192976196368877,0.3236074726100281,600,0.05,63,10,1.0,0.8
3,0.6015235607239547,0.129909141731495,0.33295626317940447,600,0.05,63,30,0.8,0.8
3,0.5907978398226809,0.13670507870288032,0.318300758348242,200,0.08,15,30,0.8,0.8
